id,entry_id,source_file,source_group,source_version
"55443","16145","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55444","16145","js\vocabularies\minecraft\minecraft_items.js","minecraft","2.2.3"
"55445","16146","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55446","16146","js\vocabularies\minecraft\minecraft_items.js","minecraft","2.2.3"
"55447","16147","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55448","16147","js\vocabularies\minecraft\minecraft_items.js","minecraft","2.2.3"
"55449","16148","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55450","16148","js\vocabularies\minecraft\minecraft_items.js","minecraft","2.2.3"
"55451","16149","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55452","16149","js\vocabularies\minecraft\minecraft_items.js","minecraft","2.2.3"
"55453","16150","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55454","16150","js\vocabularies\minecraft\minecraft_items.js","minecraft","2.2.3"
"55455","16151","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55456","16152","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55457","16153","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55458","16153","js\vocabularies\minecraft\minecraft_items.js","minecraft","2.2.3"
"55459","16154","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55460","16155","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55461","16156","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55462","16157","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55463","16158","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55464","16158","js\vocabularies\minecraft\minecraft_intermediate.js","minecraft","2.2.3"
"55465","16158","js\vocabularies\minecraft_intermediate.js","other","2.2.3"
"55466","16159","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55467","16159","js\vocabularies\minecraft\minecraft_words_full.js","minecraft","2.2.3"
"55468","16160","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55469","16160","js\vocabularies\minecraft\minecraft_words_full.js","minecraft","2.2.3"
"55470","16161","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55471","16162","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55472","16162","js\vocabularies\minecraft\minecraft_words_full.js","minecraft","2.2.3"
"55473","16163","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55474","16163","js\vocabularies\minecraft\minecraft_words_full.js","minecraft","2.2.3"
"55475","16164","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55476","16165","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55477","16165","js\vocabularies\minecraft\minecraft_words_full.js","minecraft","2.2.3"
"55478","16166","js\vocabularies\minecraft\minecraft_blocks.js","minecraft","2.2.3"
"55479","16166","js\vocabularies\minecraft\minecraft_words_full.js","minecraft","2.2.3"
"55480","16167","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55482","16167","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55484","16168","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55486","16168","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55488","16169","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55489","16169","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55490","16170","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55492","16170","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55494","16171","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55496","16171","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55498","16172","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55500","16172","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55502","16173","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55504","16173","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55506","16174","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55508","16174","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55510","16175","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55512","16175","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55514","16176","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55516","16176","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55518","16177","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55520","16177","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55522","16178","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55524","16178","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55526","16179","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
"55528","16179","js\vocabularies\minecraft_enchantments.js","other","2.2.3"
"55530","16180","js\vocabularies\minecraft\minecraft_enchantments.js","minecraft","2.2.3"
